mcc,edited_description,combined_description,usda_description,irs_description,irs_reportable
3688,COMPRI HOTELS,COMPRI HOTELS,COMPRI HOTELS,Hotels/Motels/Inns/Resorts,Yes
3689,CONSORT HOTELS,CONSORT HOTELS,CONSORT HOTELS,Hotels/Motels/Inns/Resorts,Yes
3690,COURTYARD BY MARRIOTT,COURTYARD BY MARRIOTT,COURTYARD BY MARRIOTT,Hotels/Motels/Inns/Resorts,Yes
3691,DILLION INNS,DILLION INNS,DILLION INNS,Hotels/Motels/Inns/Resorts,Yes
3692,DOUBLETREE HOTELS,DOUBLETREE HOTELS,DOUBLETREE HOTELS,Hotels/Motels/Inns/Resorts,Yes
3693,DRURY INNS,DRURY INNS,DRURY INNS,Hotels/Motels/Inns/Resorts,Yes
3694,ECONOMY INNS OF AMERICA,ECONOMY INNS OF AMERICA,ECONOMY INNS OF AMERICA,Hotels/Motels/Inns/Resorts,Yes
3695,EMBASSY SUITES,EMBASSY SUITES,EMBASSY SUITES,Hotels/Motels/Inns/Resorts,Yes
3696,EXEL INNS,EXEL INNS,EXEL INNS,Hotels/Motels/Inns/Resorts,Yes
3697,FARFIELD HOTELS,FARFIELD HOTELS,FARFIELD HOTELS,Hotels/Motels/Inns/Resorts,Yes
3698,HARLEY HOTELS,HARLEY HOTELS,HARLEY HOTELS,Hotels/Motels/Inns/Resorts,Yes
3699,MIDWAY MOTOR LODGE,MIDWAY MOTOR LODGE,MIDWAY MOTOR LODGE,Hotels/Motels/Inns/Resorts,Yes
3700,MOTEL 6,MOTEL 6,MOTEL 6,Hotels/Motels/Inns/Resorts,Yes
3701,GUEST QUARTERS (Formally PICKETT SUITE HOTELS),GUEST QUARTERS (Formally PICKETT SUITE HOTELS),GUEST QUARTERS (Formally PICKETT SUITE HOTELS),Hotels/Motels/Inns/Resorts,Yes
3702,THE REGISTRY HOTELS,THE REGISTRY HOTELS,THE REGISTRY HOTELS,Hotels/Motels/Inns/Resorts,Yes
3703,RESIDENCE INNS,RESIDENCE INNS,RESIDENCE INNS,Hotels/Motels/Inns/Resorts,Yes
3704,ROYCE HOTELS,ROYCE HOTELS,ROYCE HOTELS,Hotels/Motels/Inns/Resorts,Yes
3705,SANDMAN INNS,SANDMAN INNS,SANDMAN INNS,Hotels/Motels/Inns/Resorts,Yes
3706,SHILO INNS,SHILO INNS,SHILO INNS,Hotels/Motels/Inns/Resorts,Yes
3707,SHONEY’S INNS,SHONEY’S INNS,SHONEY’S INNS,Hotels/Motels/Inns/Resorts,Yes
3708,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3709,SUPER8 MOTELS,SUPER8 MOTELS,SUPER8 MOTELS,Hotels/Motels/Inns/Resorts,Yes
3710,THE RITZ CARLTON HOTELS,THE RITZ CARLTON HOTELS,THE RITZ CARLTON HOTELS,Hotels/Motels/Inns/Resorts,Yes
3711,FLAG INNS (AUSRALIA),FLAG INNS (AUSRALIA),FLAG INNS (AUSRALIA),Hotels/Motels/Inns/Resorts,Yes
3712,GOLDEN CHAIN HOTEL,GOLDEN CHAIN HOTEL,GOLDEN CHAIN HOTEL,Hotels/Motels/Inns/Resorts,Yes
3713,QUALITY PACIFIC HOTEL,QUALITY PACIFIC HOTEL,QUALITY PACIFIC HOTEL,Hotels/Motels/Inns/Resorts,Yes
3714,FOUR SEASONS HOTEL (AUSTRALIA),FOUR SEASONS HOTEL (AUSTRALIA),FOUR SEASONS HOTEL (AUSTRALIA),Hotels/Motels/Inns/Resorts,Yes
3715,FARIFIELD INN,FARIFIELD INN,FARIFIELD INN,Hotels/Motels/Inns/Resorts,Yes
3716,CARLTON HOTELS,CARLTON HOTELS,CARLTON HOTELS,Hotels/Motels/Inns/Resorts,Yes
3717,CITY LODGE HOTELS,CITY LODGE HOTELS,CITY LODGE HOTELS,Hotels/Motels/Inns/Resorts,Yes
3718,KAROS HOTELS,KAROS HOTELS,KAROS HOTELS,Hotels/Motels/Inns/Resorts,Yes
3719,PROTEA HOTELS,PROTEA HOTELS,PROTEA HOTELS,Hotels/Motels/Inns/Resorts,Yes
3720,SOUTHERN SUN HOTELS,SOUTHERN SUN HOTELS,SOUTHERN SUN HOTELS,Hotels/Motels/Inns/Resorts,Yes
3721,HILTON CONRAD,HILTON CONRAD,HILTON CONRAD,Hotels/Motels/Inns/Resorts,Yes
3722,WYNDHAM HOTEL AND RESORTS,WYNDHAM HOTEL AND RESORTS,WYNDHAM HOTEL AND RESORTS,Hotels/Motels/Inns/Resorts,Yes
3723,RICA HOTELS,RICA HOTELS,RICA HOTELS,Hotels/Motels/Inns/Resorts,Yes
3724,INER NOR HOTELS,INER NOR HOTELS,INER NOR HOTELS,Hotels/Motels/Inns/Resorts,Yes
3725,SEAINES PLANATION,SEAINES PLANATION,SEAINES PLANATION,Hotels/Motels/Inns/Resorts,Yes
3726,RIO SUITES,RIO SUITES,RIO SUITES,Hotels/Motels/Inns/Resorts,Yes
3727,BROADMOOR HOTEL,BROADMOOR HOTEL,BROADMOOR HOTEL,Hotels/Motels/Inns/Resorts,Yes
3728,BALLY’S HOTEL AND CASINO,BALLY’S HOTEL AND CASINO,BALLY’S HOTEL AND CASINO,Hotels/Motels/Inns/Resorts,Yes
3729,JOHN ASCUAGA’S NUGGET,JOHN ASCUAGA’S NUGGET,JOHN ASCUAGA’S NUGGET,Hotels/Motels/Inns/Resorts,Yes
3730,MGM GRAND HOTEL,MGM GRAND HOTEL,MGM GRAND HOTEL,Hotels/Motels/Inns/Resorts,Yes
3731,HARRAH’S HOTELS AND CASINOS,HARRAH’S HOTELS AND CASINOS,HARRAH’S HOTELS AND CASINOS,Hotels/Motels/Inns/Resorts,Yes
3732,OPRYLAND HOTEL,OPRYLAND HOTEL,OPRYLAND HOTEL,Hotels/Motels/Inns/Resorts,Yes
3733,BOCA RATON RESORT,BOCA RATON RESORT,BOCA RATON RESORT,Hotels/Motels/Inns/Resorts,Yes
3734,HARVEY/BRISTOL HOTELS,HARVEY/BRISTOL HOTELS,HARVEY/BRISTOL HOTELS,Hotels/Motels/Inns/Resorts,Yes
3735,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3736,COLORADO BELLE/EDGEWATER RESORT,COLORADO BELLE/EDGEWATER RESORT,COLORADO BELLE/EDGEWATER RESORT,Hotels/Motels/Inns/Resorts,Yes
3737,RIVIERA HOTEL AND CASINO,RIVIERA HOTEL AND CASINO,RIVIERA HOTEL AND CASINO,Hotels/Motels/Inns/Resorts,Yes
3738,TROPICANA RESORT AND CASINO,TROPICANA RESORT AND CASINO,TROPICANA RESORT AND CASINO,Hotels/Motels/Inns/Resorts,Yes
3739,WOODSIDE HOTELS AND RESORTS,WOODSIDE HOTELS AND RESORTS,WOODSIDE HOTELS AND RESORTS,Hotels/Motels/Inns/Resorts,Yes
3740,TOWNPLACE SUITES,TOWNPLACE SUITES,TOWNPLACE SUITES,Hotels/Motels/Inns/Resorts,Yes
3741,MILLENIUM BROADWAY HOTEL,MILLENIUM BROADWAY HOTEL,MILLENIUM BROADWAY HOTEL,Hotels/Motels/Inns/Resorts,Yes
3742,CLUB MED,CLUB MED,CLUB MED,Hotels/Motels/Inns/Resorts,Yes
3743,BILTMORE HOTEL AND SUITES,BILTMORE HOTEL AND SUITES,BILTMORE HOTEL AND SUITES,Hotels/Motels/Inns/Resorts,Yes
3744,CAREFREE RESORTS,CAREFREE RESORTS,CAREFREE RESORTS,Hotels/Motels/Inns/Resorts,Yes
3745,ST. REGIS HOTEL,ST. REGIS HOTEL,ST. REGIS HOTEL,Hotels/Motels/Inns/Resorts,Yes
3746,THE ELIOT HOTEL,THE ELIOT HOTEL,THE ELIOT HOTEL,Hotels/Motels/Inns/Resorts,Yes
3747,CLUBCORP/CLUB RESORTS,CLUBCORP/CLUB RESORTS,CLUBCORP/CLUB RESORTS,Hotels/Motels/Inns/Resorts,Yes
3748,WELESLEY INNS,WELESLEY INNS,WELESLEY INNS,Hotels/Motels/Inns/Resorts,Yes
3749,THE BEVERLY HILLS HOTEL,THE BEVERLY HILLS HOTEL,THE BEVERLY HILLS HOTEL,Hotels/Motels/Inns/Resorts,Yes
3750,CROWNE PLAZA HOTELS,CROWNE PLAZA HOTELS,CROWNE PLAZA HOTELS,Hotels/Motels/Inns/Resorts,Yes
3751,HOMEWOOD SUITES,HOMEWOOD SUITES,HOMEWOOD SUITES,Hotels/Motels/Inns/Resorts,Yes
3752,PEABODY HOTELS,PEABODY HOTELS,PEABODY HOTELS,Hotels/Motels/Inns/Resorts,Yes
3753,GREENBRIAH RESORTS,GREENBRIAH RESORTS,GREENBRIAH RESORTS,Hotels/Motels/Inns/Resorts,Yes
3754,AMELIA ISLAND PLANATION,AMELIA ISLAND PLANATION,AMELIA ISLAND PLANATION,Hotels/Motels/Inns/Resorts,Yes
3755,THE HOMESTEAD,THE HOMESTEAD,THE HOMESTEAD,Hotels/Motels/Inns/Resorts,Yes
3756,SOUTH SEAS RESORTS,SOUTH SEAS RESORTS,SOUTH SEAS RESORTS,Hotels/Motels/Inns/Resorts,Yes
3757,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3758,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3759,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3760,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3761,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3762,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3763,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3764,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3765,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3766,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3767,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3768,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3769,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3770,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3771,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3772,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3773,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3774,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3775,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3776,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3777,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3778,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3779,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3780,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3781,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3782,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3783,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3784,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3785,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3786,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3787,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3788,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3789,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3790,Hotels/Motels/Inns/Resorts,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes
3816,Home2Suites,,,,
3835,* MASTERS ECONOMY INNS,* MASTERS ECONOMY INNS,* MASTERS ECONOMY INNS,,
4011,Railroads,Railroads,,Railroads,No1.6041-3(c)
4111,"Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.","Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.","Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.","Commuter Transport, Ferries",Yes
4112,Passenger Railways,Passenger Railways,Passenger Railways,Passenger Railways,Yes
4119,Ambulance Services,Ambulance Services,Ambulance Services,Ambulance Services,Yes
4121,Taxicabs and Limousines,Taxicabs and Limousines,Taxicabs and Limousines,Taxicabs/Limousines,Yes
4131,"Bus Lines, Including Charters, Tour Buses","Bus Lines, Including Charters, Tour Buses","Bus Lines, Including Charters, Tour Buses",Bus Lines,Yes
4214,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local","Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",Motor Freight Carriers,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services ",No1.6041-3(c)
4215,"Courier Services – Air or Ground, Freight forwarders","Courier Services – Air or Ground, Freight forwarders",Courier Services – Air or Ground,Courier Services ,Yes
4225,"Public warehousing, Storage","Public warehousing, Storage","Warehousing, Public","Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage ",No1.6041-3(c)
4411,Cruise and Steamship Lines,Cruise and Steamship Lines,Cruise Lines,Cruise Lines,Yes
4457,Boat Rentals and Leases,Boat Rentals and Leases,Boat Rentals and Leases,Boat Rentals and Leases,Yes
4468,"Marinas, Marine Service, and Supplies","Marinas, Marine Service, and Supplies","Marinas, Marine Service, and Supplies","Marinas, Service and Supplies",Yes
4511,"Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers ( not listed elsewhere)","Airlines, Air Carriers",Yes
4582,"Airports, Airport Terminals, Flying Fields","Airports, Airport Terminals, Flying Fields","Airports, Airport Terminals","Airports, Flying Fields",Yes
4722,Travel Agencies and Tour Operations,Travel Agencies and Tour Operations,Travel Agencies and Tour Operations,"Travel Agencies, Tour Operators",Yes
4723,Package Tour Operators (For use in Germany only),Package Tour Operators (For use in Germany only),Package Tour Operators (For use in Germany only),TUI Travel - Germany,Yes
4784,Toll and Bridge Fees,Toll and Bridge Fees,Toll and Bridge Fees,Tolls/Bridge Fees,No1.6041-3(c)
4789,"Transportation Services, Not elsewhere classified)","Transportation Services, Not elsewhere classified)","Transportation Services, Not elsewhere classified)",Transportation Services (Not Elsewhere Classified),Yes
4812,Telecommunications Equipment including telephone sales,Telecommunications Equipment including telephone sales,Telecommunications Equipment including telephone sales,Telecommunication Equipment and Telephone Sales,No1.6041-3(c)
4814,"Fax services, Telecommunication Services","Fax services, Telecommunication Services",Fax services,Telecommunication Services,No1.6041-3(c)
4815,VisaPhone,VisaPhone,VisaPhone,,
4816,Computer Network Services,Computer Network Services,,Computer Network Services,No1.6041-3(c)
4821,Telegraph services,Telegraph services,Telegraph services,Telegraph Services,No1.6041-3(c)
4829,Money Orders – Wire Transfer,Money Orders – Wire Transfer,Money Orders – Wire Transfer,"Wires, Money Orders",No1.6041-3(c)
4899,Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services),"Cable, Satellite, and Other Pay Television and Radio",No1.6041-3(c)
4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities",Utilities ,No1.6041-3(c)
5013,Motor vehicle supplies and new parts,Motor vehicle supplies and new parts,Motor vehicle supplies and new parts,Motor Vehicle Supplies and New Parts,No1.6041-3(c)
5021,Office and Commercial Furniture,Office and Commercial Furniture,Office and Commercial Furniture,Office and Commercial Furniture,No1.6041-3(c)
5039,"Construction Materials, Not Elsewhere Classified","Construction Materials, Not Elsewhere Classified","Construction Materials, Not Elsewhere Classified",Construction Materials (Not Elsewhere Classified),No1.6041-3(c)
5044,"Office, Photographic, Photocopy, and Microfilm Equipment","Office, Photographic, Photocopy, and Microfilm Equipment","Office, Photographic, Photocopy, and Microfilm Equipment","Photographic, Photocopy, Microfilm Equipment, and Supplies",No1.6041-3(c)
5045,"Computers, Computer Peripheral Equipment, Software","Computers, Computer Peripheral Equipment, Software","Computers, Computer Peripheral Equipment, Software","Computers, Peripherals, and Software",No1.6041-3(c)
5046,"Commercial Equipment, Not Elsewhere Classified","Commercial Equipment, Not Elsewhere Classified","Commercial Equipment, Not Elsewhere Classified",Commercial Equipment (Not Elsewhere Classified),No1.6041-3(c)
5047,"Medical, Dental Ophthalmic, Hospital Equipment and Supplies","Medical, Dental Ophthalmic, Hospital Equipment and Supplies","Medical, Dental Ophthalmic, Hospital Equipment and Supplies","Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies",No1.6041-3(c)
5051,Metal Service Centers and Offices,Metal Service Centers and Offices,Metal Service Centers and Offices,Metal Service Centers,No1.6041-3(c)
5065,Electrical Parts and Equipment,Electrical Parts and Equipment,Electrical Parts and Equipment,Electrical Parts and Equipment,No1.6041-3(c)
5072,Hardware Equipment and Supplies,Hardware Equipment and Supplies,Hardware Equipment and Supplies,"Hardware, Equipment, and Supplies",No1.6041-3(c)
5074,Plumbing and Heating Equipment and Supplies,Plumbing and Heating Equipment and Supplies,Plumbing and Heating Equipment and Supplies,"Plumbing, Heating Equipment, and Supplies",No1.6041-3(c)
5085,"Industrial Supplies, Not Elsewhere Classified","Industrial Supplies, Not Elsewhere Classified","Industrial Supplies, Not Elsewhere Classified",Industrial Supplies (Not Elsewhere Classified),No1.6041-3(c)
5094,"Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry",No1.6041-3(c)
5099,"Durable Goods, Not Elsewhere Classified","Durable Goods, Not Elsewhere Classified","Durable Goods, Not Elsewhere Classified",Durable Goods (Not Elsewhere Classified),No1.6041-3(c)
5111,"Stationery, Office Supplies, Printing, and Writing Paper","Stationery, Office Supplies, Printing, and Writing Paper","Stationery, Office Supplies, Printing, and Writing Paper","Stationary, Office Supplies, Printing and Writing Paper",No1.6041-3(c)
5122,"Drugs, Drug Proprietors, and Druggist’s Sundries","Drugs, Drug Proprietors, and Druggist’s Sundries","Drugs, Drug Proprietors, and Druggist’s Sundries","Drugs, Drug Proprietaries, and Druggist Sundries",No1.6041-3(c)
5131,"Piece Goods, Notions, and Other Dry Goods","Piece Goods, Notions, and Other Dry Goods","Piece Goods, Notions, and Other Dry Goods","Piece Goods, Notions, and Other Dry Goods",No1.6041-3(c)
5137,Men’s Women’s and Children’s Uniforms and Commercial Clothing,Men’s Women’s and Children’s Uniforms and Commercial Clothing,Men’s Women’s and Children’s Uniforms and Commercial Clothing,"Uniforms, Commercial Clothing",No1.6041-3(c)
5139,Commercial Footwear,Commercial Footwear,Commercial Footwear,Commercial Footwear,No1.6041-3(c)
5169,"Chemicals and Allied Products, Not Elsewhere Classified","Chemicals and Allied Products, Not Elsewhere Classified","Chemicals and Allied Products, Not Elsewhere Classified",Chemicals and Allied Products (Not Elsewhere Classified),No1.6041-3(c)
5172,Petroleum and Petroleum Products,Petroleum and Petroleum Products,Petroleum and Petroleum Products,Petroleum and Petroleum Products,No1.6041-3(c)
5192,"Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers",No1.6041-3(c)
5193,"Florists’ Supplies, Nursery Stock and Flowers","Florists’ Supplies, Nursery Stock and Flowers","Florists’ Supplies, Nursery Stock and Flowers","Florists Supplies, Nursery Stock, and Flowers",No1.6041-3(c)
5198,"Paints, Varnishes, and Supplies","Paints, Varnishes, and Supplies","Paints, Varnishes, and Supplies","Paints, Varnishes, and Supplies",No1.6041-3(c)
5199,"Non-durable Goods, Not Elsewhere Classified","Non-durable Goods, Not Elsewhere Classified","Non-durable Goods, Not Elsewhere Classified",Nondurable Goods (Not Elsewhere Classified),No1.6041-3(c)
5200,Home Supply Warehouse Stores,Home Supply Warehouse Stores,Home Supply Warehouse Stores,Home Supply Warehouse Stores,No1.6041-3(c)
5211,Lumber and Building Materials Stores,Lumber and Building Materials Stores,Lumber and Building Materials Stores,"Lumber, Building Materials Stores",No1.6041-3(c)
5231,"Glass, Paint, and Wallpaper Stores","Glass, Paint, and Wallpaper Stores",Wallpaper Stores,"Glass, Paint, and Wallpaper Stores",No1.6041-3(c)
5251,Hardware Stores,Hardware Stores,Hardware Stores,Hardware Stores,No1.6041-3(c)
5261,Nurseries – Lawn and Garden Supply Store,Nurseries – Lawn and Garden Supply Store,Nurseries – Lawn and Garden Supply Store,"Nurseries, Lawn and Garden Supply Stores",No1.6041-3(c)
5271,Mobile Home Dealers,Mobile Home Dealers,Mobile Home Dealers,Mobile Home Dealers,No1.6041-3(c)
5300,Wholesale Clubs,Wholesale Clubs,Wholesale Clubs,Wholesale Clubs,No1.6041-3(c)
5309,Duty Free Store,Duty Free Store,Duty Free Store,Duty Free Stores,No1.6041-3(c)
5310,Discount Stores,Discount Stores,Discount Stores,Discount Stores,No1.6041-3(c)
5311,Department Stores,Department Stores,Department Stores,Department Stores,No1.6041-3(c)
5331,Variety Stores,Variety Stores,Variety Stores,Variety Stores,No1.6041-3(c)
5399,Misc. General Merchandise,Misc. General Merchandise,Misc. General Merchandise,Miscellaneous General Merchandise,No1.6041-3(c)
5411,"Grocery Stores, Supermarkets","Grocery Stores, Supermarkets",Grocery Stores,"Grocery Stores, Supermarkets",No1.6041-3(c)
5422,Meat Provisioners – Freezer and Locker,Meat Provisioners – Freezer and Locker,Meat Provisioners – Freezer and Locker,Freezer and Locker Meat Provisioners,No1.6041-3(c)
5441,"Candy, Nut, and Confectionery Stores","Candy, Nut, and Confectionery Stores",Candy Stores,"Candy, Nut, and Confectionery Stores",No1.6041-3(c)
5451,Dairy Products Stores,Dairy Products Stores,Dairy Products Stores,Dairy Products Stores,No1.6041-3(c)
5462,Bakeries,Bakeries,Bakeries,Bakeries,No1.6041-3(c)
5499,Misc. Food Stores – Convenience Stores and Specialty Markets,Misc. Food Stores – Convenience Stores and Specialty Markets,Misc. Food Stores – Convenience Stores and Specialty Markets,Miscellaneous Food Stores - Convenience Stores and Specialty Markets,No1.6041-3(c)
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing","Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing","Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing","Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing ",No1.6041-3(c)
5521,Automobile and Truck Dealers (Used Only),Automobile and Truck Dealers (Used Only),Automobile and Truck Dealers (Used Only),"Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing ",No1.6041-3(c)
5531,Automobile Supply Stores,Automobile Supply Stores,Automobile Supply Stores,Auto and Home Supply Stores,No1.6041-3(c)
5532,Automotive Tire Stores,Automotive Tire Stores,Automotive Tire Stores,Automotive Tire Stores,No1.6041-3(c)
5533,"Automotive Parts, Accessories Stores","Automotive Parts, Accessories Stores","Automotive Parts, Accessories Stores",Automotive Parts and Accessories Stores,No1.6041-3(c)
5541,Service Stations ( with or without ancillary services),Service Stations ( with or without ancillary services),Service Stations ( with or without ancillary services),Service Stations ,No1.6041-3(c)
5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers,No1.6041-3(c)
5551,Boat Dealers,Boat Dealers,Boat Dealers,Boat Dealers,No1.6041-3(c)
5561,"Recreational and Utility Trailers, Camp Dealers","Recreational and Utility Trailers, Camp Dealers","Recreational and Utility Trailers, Camp Dealers","Motorcycle Shops, Dealers",No1.6041-3(c)
5571,Motorcycle Dealers,Motorcycle Dealers,Motorcycle Dealers,Motorcycle Shops and Dealers,No1.6041-3(c)
5592,Motor Home Dealers,Motor Home Dealers,Motor Home Dealers,Motor Homes Dealers,No1.6041-3(c)
5598,Snowmobile Dealers,Snowmobile Dealers,Snowmobile Dealers,Snowmobile Dealers,No1.6041-3(c)
5599,Miscellaneous Auto Dealers ,Miscellaneous Auto Dealers ,,Miscellaneous Auto Dealers ,No1.6041-3(c)
5611,Men’s and Boy’s Clothing and Accessories Stores,Men’s and Boy’s Clothing and Accessories Stores,Men’s and Boy’s Clothing and Accessories Stores,Men’s and Boy’s Clothing and Accessories Stores,No1.6041-3(c)
5621,Women’s Ready-to-Wear Stores,Women’s Ready-to-Wear Stores,Women’s Ready-to-Wear Stores,Women’s Ready-To-Wear Stores,No1.6041-3(c)
5631,Women’s Accessory and Specialty Shops,Women’s Accessory and Specialty Shops,Women’s Accessory and Specialty Shops,Women’s Accessory and Specialty Shops,No1.6041-3(c)
5641,Children’s and Infant’s Wear Stores,Children’s and Infant’s Wear Stores,Children’s and Infant’s Wear Stores,Children’s and Infant’s Wear Stores,No1.6041-3(c)
5651,Family Clothing Stores,Family Clothing Stores,Family Clothing Stores,Family Clothing Stores,No1.6041-3(c)
5655,"Sports Apparel, Riding Apparel Stores","Sports Apparel, Riding Apparel Stores","Sports Apparel, Riding Apparel Stores",Sports and Riding Apparel Stores,No1.6041-3(c)
5661,Shoe Stores,Shoe Stores,Shoe Stores,Shoe Stores,No1.6041-3(c)
5681,Furriers and Fur Shops,Furriers and Fur Shops,Furriers and Fur Shops,Furriers and Fur Shops,No1.6041-3(c)
5691,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores,"Men’s, Women’s Clothing Stores",No1.6041-3(c)
5697,"Tailors, Seamstress, Mending, and Alterations","Tailors, Seamstress, Mending, and Alterations","Tailors, Seamstress, Mending, and Alterations","Tailors, Alterations",Yes
5698,Wig and Toupee Stores,Wig and Toupee Stores,Wig and Toupee Stores,Wig and Toupee Stores,No1.6041-3(c)
5699,Miscellaneous Apparel and Accessory Shops,Miscellaneous Apparel and Accessory Shops,Miscellaneous Apparel and Accessory Shops,Miscellaneous Apparel and Accessory Shops,No1.6041-3(c)
